City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
314,Tupancireta,BR,-29.0806,-53.8358,64.0,99,100,3.65,moderate rain
315,Coari,BR,-4.085,-63.1414,71.96,97,60,2.57,broken clouds
316,Rawlins,US,41.7911,-107.2387,48.09,12,0,9.22,clear sky
317,Jinxiang,CN,27.4327,120.6062,56.41,63,11,9.37,few clouds
318,Saint Pete Beach,US,27.7253,-82.7412,72.16,81,0,3.44,clear sky
319,Maksatikha,RU,57.797,35.8825,20.88,96,82,3.36,broken clouds
320,Kyra,RU,49.5776,111.9753,36.37,64,100,4.34,overcast clouds
321,Mahabad,IR,36.7631,45.7222,56.91,39,100,9.84,overcast clouds
322,Sorong,ID,-0.8833,131.25,83.41,72,99,8.21,overcast clouds
323,Sokolo,ML,14.7328,-6.1219,86.83,14,0,2.13,clear sky
324,Lydenburg,ZA,-25.0978,30.4597,57.94,86,100,1.12,overcast clouds
325,Nouadhibou,MR,20.931,-17.0347,64.38,94,0,10.36,clear sky
326,Progreso,MX,21.2833,-89.6667,80.11,89,96,10.27,overcast clouds
327,Mount Gambier,AU,-37.8333,140.7667,62.51,59,100,9.22,overcast clouds
328,Oussouye,SN,12.485,-16.5469,68.18,76,77,12.33,broken clouds
329,Ewa Beach,US,21.3156,-158.0072,82.35,61,20,21.85,few clouds
330,Tual,ID,-5.6667,132.75,82.02,65,20,0.63,few clouds
331,Ekhabi,RU,53.5102,142.9671,40.21,92,44,13.91,scattered clouds
332,Abashiri,JP,44.0213,144.2697,55.69,24,0,9.22,clear sky
333,Bilma,NE,18.6853,12.9164,82.27,6,2,4.81,clear sky
334,Varhaug,NO,58.6147,5.6457,39.88,97,100,16.35,light rain
335,Staryy Nadym,RU,65.6118,72.6842,18.91,94,100,27.02,light snow
336,Champerico,GT,14.3,-91.9167,82.6,68,9,7.83,clear sky
337,Mahajanga,MG,-15.7167,46.3167,77.02,94,20,2.3,few clouds
338,Georgiyevka,KZ,43.0369,74.7114,44.64,87,100,8.95,overcast clouds
339,Lillehammer,NO,61.1146,10.4674,32.32,95,100,1.01,light snow
340,Mirabad,AF,30.4362,61.8383,72.27,13,5,5.44,clear sky
341,Morros,BR,-9.4467,-46.3003,75.25,73,100,0.78,overcast clouds
342,Varzea Grande,BR,-15.6467,-56.1325,78.67,89,40,4.61,scattered clouds
343,Khromtau,KZ,50.2503,58.4347,35.85,76,100,5.82,overcast clouds
